SpatialDimValueCode,HealthAvailVal_nurse,HealthAvailVal_psych,Period,FactValueNumeric_alcohol,suicide_rate,HDI,Health_Expenditure,HomicideRate,cluster
KHM,0.0018435817398885,0.0079112276976245,2017,0.2419724770642201,0.0743867053547876,0.4579172610556348,0.2631578947368421,0.024821973550356,0
KHM,0.0018435817398885,0.0079112276976245,2016,0.2184633027522935,0.0758375098918491,0.4465049928673323,0.2631578947368421,0.024821973550356,0
KHM,0.0018435817398885,0.0079112276976245,2015,0.1961009174311926,0.0758375098918491,0.4336661911554921,0.2631578947368421,0.024821973550356,0
KHM,0.0018435817398885,0.0079112276976245,2014,0.1760321100917431,0.0764969664996043,0.4265335235378031,0.3157894736842105,0.024821973550356,0
KHM,0.0018435817398885,0.0079112276976245,2013,0.1599770642201834,0.078607227644421,0.4194008559201142,0.3157894736842105,0.024821973550356,0
KHM,0.0018435817398885,0.0079112276976245,2012,0.1473623853211009,0.0807174887892376,0.4151212553495007,0.3157894736842105,0.0249237029501525,0
KHM,0.0018435817398885,0.0079112276976245,2011,0.1353211009174312,0.0820364020047481,0.4079885877318118,0.3684210526315789,0.0250254323499491,0
KHM,0.0018435817398885,0.0079112276976245,2010,0.1141055045871559,0.0836190978633606,0.4022824536376606,0.3157894736842105,0.0269582909460834,0
KHM,0.0018435817398885,0.0079112276976245,2009,0.0946100917431192,0.0842785544711158,0.3965763195435093,0.3684210526315789,0.0283825025432349,0
KHM,0.0018435817398885,0.0079112276976245,2008,0.0779816513761468,0.0877077288314429,0.3937232524964337,0.3157894736842105,0.0301119023397761,0
KHM,0.0018435817398885,0.0079112276976245,2007,0.073394495412844,0.0908731205486679,0.3865905848787446,0.2105263157894736,0.0332655137334689,0
KHM,0.0018435817398885,0.0079112276976245,2006,0.0688073394495412,0.0910050118702189,0.3737517831669045,0.2631578947368421,0.0357070193285859,0
KHM,0.0018435817398885,0.0079112276976245,2005,0.0613532110091743,0.0898179899762595,0.3566333808844508,0.3157894736842105,0.0390640895218718,0
KHM,0.0018435817398885,0.0079112276976245,2004,0.055045871559633,0.0870482722236876,0.3409415121255349,0.3157894736842105,0.0422177009155646,0
KHM,0.0018435817398885,0.0079112276976245,2003,0.047591743119266,0.0852017937219731,0.3195435092724679,0.3157894736842105,0.04323499491353,0
