SpatialDimValueCode,Period,FactValueNumeric
BRB,2015,9.7
AUS,2015,9.79
KOR,2015,8.07
GRD,2015,8.11
DMA,2015,6.57
SRB,2015,7.2
BRA,2015,6.79
SWZ,2015,6.75
MUS,2015,6.82
AGO,2015,6.86
GEO,2015,6.89
BFA,2015,7.03
GRC,2015,6.97
LAO,2015,7.04
THA,2015,6.95
SWE,2015,7.16
CAN,2015,8.1
ITA,2015,7.27
CHL,2015,7.4
ISL,2015,7.39
VCT,2015,7.45
ZAF,2015,7.45
UGA,2015,7.74
CYP,2015,7.95
GAB,2015,7.89
GNQ,2015,8.02
ZWE,2015,2.87
JPN,2015,6.47
HTI,2015,2.81
NPL,2015,0.7
KIR,2015,0.36
MAR,2015,0.39
OMN,2015,0.44
TLS,2015,0.37
DZA,2015,0.54
MYS,2015,0.57
BRN,2015,0.66
TCD,2015,0.66
MDG,2015,0.7
SLB,2015,0.75
DJI,2015,0.36
ERI,2015,0.95
TJK,2015,0.88
QAT,2015,1.01
RWA,2015,0.96
LBN,2015,1.22
MDV,2015,1.23
PNG,2015,1.22
TGO,2015,1.24
COD,2015,1.26
GIN,2015,0.35
AZE,2015,0.39
MOZ,2015,1.27
IDN,2015,0.08
BGD,2015,0.004
KWT,2015,0.0
LBY,2015,0.01
MRT,2015,0.0
SAU,2015,0.0
SOM,2015,0.0
YEM,2015,0.026
BTN,2015,0.11
COM,2015,0.14
IRN,2015,0.07
TON,2015,0.29
NER,2015,0.13
PAK,2015,0.054
SDN,2015,0.12
EGY,2015,0.18
IRQ,2015,0.16
SLE,2015,0.22
SYR,2015,0.2
JOR,2015,0.34
SEN,2015,0.28
ETH,2015,1.32
FJI,2015,2.65
TUR,2015,1.31
GHA,2015,2.1
SVN,2015,10.97
HUN,2015,11.05
LUX,2015,11.45
AUT,2015,11.9
FRA,2015,11.89
COK,2015,12.49
CZE,2015,12.81
SYC,2015,13.3
EST,2015,16.54
ARE,2015,2.09
DEU,2015,11.01
KEN,2015,2.22
LSO,2015,2.4
NRU,2015,2.44
SLV,2015,2.55
HND,2015,2.48
ISR,2015,2.48
UZB,2015,2.5
LKA,2015,2.59
AFG,2015,0.007
IRL,2015,10.99
LTU,2015,13.45
LVA,2015,10.9
BHR,2015,1.76
BGR,2015,10.86
TUV,2015,1.41
MMR,2015,1.46
VUT,2015,1.48
GTM,2015,1.64
FSM,2015,1.55
CIV,2015,1.74
GMB,2015,1.65
WSM,2015,1.72
TUN,2015,1.6
MWI,2015,1.84
HRV,2015,10.16
CAF,2015,1.4
POL,2015,10.44
PRT,2015,10.3
BLR,2015,10.27
AND,2015,10.75
SVK,2015,10.15
BEL,2015,10.12
SGP,2015,1.84
GUY,2014,5.68
PHL,2014,4.67
BIH,2014,4.77
NAM,2014,4.9
BEN,2014,5.23
PRY,2014,5.23
CMR,2014,5.25
SUR,2014,5.33
DOM,2014,5.36
STP,2014,5.56
BFA,2014,6.51
URY,2014,5.7
KGZ,2014,5.86
PER,2014,5.85
TTO,2014,5.9
NOR,2014,6.08
BWA,2014,6.22
CHN,2014,6.24
PAN,2014,6.29
TZA,2014,6.25
CUB,2014,4.52
CPV,2014,4.71
IND,2014,3.01
COG,2014,4.48
TKM,2014,3.16
MDA,2014,6.6
ZWE,2014,3.02
KHM,2014,3.07
CRI,2014,3.11
GNB,2014,3.07
NGA,2014,3.08
ZMB,2014,3.08
BOL,2014,3.17
JAM,2014,3.21
BDI,2014,3.28
ALB,2014,4.25
PRK,2014,3.52
KAZ,2014,3.59
MLI,2014,3.62
NIC,2014,3.58
ECU,2014,3.75
MKD,2014,3.72
MEX,2014,4.03
ARM,2014,4.06
COL,2014,4.23
JPN,2014,6.51
GAB,2014,7.95
VEN,2014,6.57
RUS,2014,8.98
NLD,2014,8.43
KOR,2014,8.36
KNA,2014,8.42
MNE,2014,8.55
GNQ,2014,8.57
FIN,2014,8.78
ESP,2014,8.8
USA,2014,8.79
NZL,2014,8.93
LCA,2014,9.08
CAN,2014,8.13
BHS,2014,9.35
BRB,2014,9.32
ATG,2014,9.43
DNK,2014,9.4
GBR,2014,9.43
ROU,2014,9.53
CHE,2014,9.66
AUS,2014,9.86
LBR,2014,2.82
ARG,2014,8.22
NIU,2014,8.01
BLZ,2014,6.67
VCT,2014,7.2
DMA,2014,6.68
LAO,2014,6.68
MUS,2014,6.81
BRA,2014,6.93
GEO,2014,6.89
THA,2014,6.88
SWZ,2014,7.07
SRB,2014,7.19
ISL,2014,7.16
SWE,2014,7.22
GRD,2014,7.95
GRC,2014,7.28
AGO,2014,7.43
ITA,2014,7.35
ZAF,2014,7.5
UKR,2014,7.5
CHL,2014,7.68
MLT,2014,7.71
CYP,2014,7.81
UGA,2014,7.84
VNM,2014,2.89
HTI,2014,2.77
AFG,2014,0.003
MDG,2014,0.7
JOR,2014,0.36
MAR,2014,0.41
OMN,2014,0.44
TLS,2014,0.41
DZA,2014,0.52
MYS,2014,0.55
SLB,2014,0.65
BRN,2014,0.67
TCD,2014,0.65
NPL,2014,0.68
SLE,2014,0.27
TJK,2014,0.85
RWA,2014,0.95
ERI,2014,0.97
QAT,2014,1.02
ETH,2014,1.18
LBN,2014,1.21
MOZ,2014,1.16
PNG,2014,1.18
CAF,2014,1.32
AZE,2014,0.36
SEN,2014,0.27
MDV,2014,1.26
IRN,2014,0.067
LKA,2014,2.59
BGD,2014,0.004
KWT,2014,0.0
LBY,2014,0.009
MRT,2014,0.0
SAU,2014,0.0
SOM,2014,0.0
YEM,2014,0.031
IDN,2014,0.082
NER,2014,0.12
KIR,2014,0.3
PAK,2014,0.05
SDN,2014,0.12
BTN,2014,0.18
COM,2014,0.15
EGY,2014,0.19
IRQ,2014,0.16
SYR,2014,0.19
TON,2014,0.24
GIN,2014,0.32
COD,2014,1.34
DJI,2014,0.4
TUR,2014,1.34
IRL,2014,10.73
DEU,2014,11.08
BLR,2014,11.22
LUX,2014,11.49
SYC,2014,11.66
FRA,2014,11.89
AUT,2014,12.03
COK,2014,12.43
CZE,2014,12.68
LTU,2014,14.29
EST,2014,17.25
MWI,2014,1.96
ARE,2014,1.99
GHA,2014,2.14
KEN,2014,2.24
UZB,2014,2.35
SLV,2014,2.45
LSO,2014,2.37
NRU,2014,2.44
HND,2014,2.54
FJI,2014,2.63
TGO,2014,1.3
HUN,2014,10.87
ISR,2014,2.56
SVN,2014,10.65
GMB,2014,1.89
TUN,2014,1.53
VUT,2014,1.53
CIV,2014,1.64
FSM,2014,1.56
WSM,2014,1.61
TUV,2014,1.6
GTM,2014,1.72
SGP,2014,1.84
BHR,2014,1.87
MMR,2014,1.37
PRT,2014,10.02
AND,2014,10.35
HRV,2014,10.28
MNG,2014,10.27
BEL,2014,10.42
BGR,2014,10.57
LVA,2014,10.6
POL,2014,10.56
SVK,2014,10.14
DOM,2013,5.4
SUR,2013,5.68
PRY,2013,5.46
URY,2013,5.44
CPV,2013,4.66
BEN,2013,5.43
PHL,2013,4.88
NAM,2013,4.66
CMR,2013,5.89
GUY,2013,5.76
KGZ,2013,6.06
STP,2013,5.88
TTO,2013,5.88
BFA,2013,6.02
CHN,2013,6.11
PER,2013,6.08
NOR,2013,6.16
PAN,2013,6.24
TZA,2013,6.15
BWA,2013,6.36
COG,2013,4.45
BIH,2013,4.75
NIC,2013,3.54
CUB,2013,4.41
BOL,2013,3.2
NRU,2013,2.79
IND,2013,3.03
NGA,2013,3.02
ZMB,2013,2.98
BDI,2013,3.05
CRI,2013,3.1
GNB,2013,3.07
JAM,2013,3.12
TKM,2013,3.11
ZWE,2013,3.15
COL,2013,4.3
JPN,2013,6.52
PRK,2013,3.56
MLI,2013,3.61
KAZ,2013,3.72
MKD,2013,3.73
ECU,2013,3.82
MEX,2013,3.92
ARM,2013,4.03
ALB,2013,4.28
LAO,2013,6.44
KHM,2013,2.79
BLZ,2013,6.56
GNQ,2013,9.13
NIU,2013,8.28
UKR,2013,8.33
KNA,2013,8.44
KOR,2013,8.6
NLD,2013,8.69
USA,2013,8.81
FIN,2013,9.03
ATG,2013,9.1
BRB,2013,9.08
NZL,2013,9.09
CAN,2013,8.21
LCA,2013,9.22
DNK,2013,9.33
BHS,2013,9.37
GBR,2013,9.42
ROU,2013,9.6
MNE,2013,9.62
CHE,2013,9.74
PRT,2013,9.83
RUS,2013,9.8
ESP,2013,8.16
CYP,2013,8.09
DMA,2013,6.67
SWE,2013,7.25
VEN,2013,6.77
SWZ,2013,6.94
ISL,2013,6.88
MUS,2013,6.92
THA,2013,6.94
GEO,2013,7.05
MDA,2013,7.03
VCT,2013,6.99
BRA,2013,7.11
ITA,2013,7.46
ARG,2013,8.06
MLT,2013,7.53
ZAF,2013,7.49
GRC,2013,7.61
CHL,2013,7.83
GAB,2013,7.75
GRD,2013,7.84
AGO,2013,7.86
UGA,2013,7.93
SRB,2013,7.94
LBR,2013,2.79
AFG,2013,0.003
VNM,2013,2.75
NPL,2013,0.66
JOR,2013,0.38
MAR,2013,0.44
OMN,2013,0.45
DZA,2013,0.48
TLS,2013,0.46
TCD,2013,0.63
MYS,2013,0.55
SLB,2013,0.64
MDG,2013,0.68
BRN,2013,0.77
SLE,2013,0.29
TJK,2013,0.8
RWA,2013,0.9
ERI,2013,0.97
QAT,2013,1.02
ETH,2013,1.08
MOZ,2013,1.08
PNG,2013,1.09
LBN,2013,1.23
TGO,2013,1.24
AZE,2013,0.37
SEN,2013,0.27
MMR,2013,1.3
IDN,2013,0.083
HTI,2013,2.66
BGD,2013,0.004
KWT,2013,0.0
LBY,2013,0.008
MRT,2013,0.0
PAK,2013,0.047
SAU,2013,0.0
SOM,2013,0.0
YEM,2013,0.036
IRN,2013,0.13
KIR,2013,0.3
NER,2013,0.12
SDN,2013,0.12
