SpatialDimValueCode,Period,FactValueNumeric_alcohol,FactValueNumeric
TCD,2018,0.53,13.57
MAR,2018,0.47,7.3
OMN,2018,0.47,4.37
DZA,2018,0.57,2.58
BRN,2018,0.66,3.04
MDG,2018,0.71,9.24
MYS,2018,0.67,5.58
NPL,2018,0.8,9.69
AZE,2018,0.88,3.92
ERI,2018,0.88,17.84
GMB,2018,0.86,9.62
TJK,2018,0.86,5.29
QAT,2018,0.98,4.61
TGO,2018,1.02,14.88
COD,2018,1.08,12.39
LBN,2018,1.17,2.53
PNG,2018,1.2,3.51
SLB,2018,1.15,17.74
TLS,2018,0.32,4.46
SEN,2018,0.31,11.16
JOR,2018,0.29,1.94
BTN,2018,0.066,5.11
VEN,2018,2.71,2.21
BGD,2018,0.004,3.75
KWT,2018,0.0,2.56
LBY,2018,0.008,5.7
MRT,2018,0.0,5.42
SAU,2018,0.0,5.57
SOM,2018,0.0,14.81
SDN,2018,0.003,4.81
YEM,2018,0.018,7.09
EGY,2018,0.15,3.37
GIN,2018,0.33,12.24
IDN,2018,0.08,2.56
IRN,2018,0.11,5.49
NER,2018,0.09,10.13
PAK,2018,0.059,9.79
SYR,2018,0.14,2.1
COM,2018,0.18,8.48
IRQ,2018,0.16,4.88
SLE,2018,0.19,11.2
DJI,2018,0.27,12.17
MDV,2018,1.31,2.92
AFG,2018,0.013,5.91
AUT,2018,11.7,11.19
EST,2018,11.85,11.56
HUN,2018,11.0,12.58
LTU,2018,10.97,21.08
DEU,2018,11.11,8.46
IRL,2018,11.07,9.17
ATG,2018,11.24,0.32
LUX,2018,11.28,8.03
BGR,2018,11.39,6.6
FRA,2018,11.46,10.05
ROU,2018,10.65,7.71
CZE,2018,12.91,10.83
LVA,2018,12.9,14.29
SYC,2018,13.27,7.87
ARE,2018,2.1,5.01
KEN,2018,2.3,11.03
ISR,2018,2.56,5.26
LKA,2018,2.56,13.24
UZB,2018,2.55,8.73
ESP,2018,10.67,5.38
CAF,2018,1.44,23.65
POL,2018,10.72,10.4
CIV,2018,1.93,15.93
SVN,2018,10.39,12.79
BHR,2018,1.45,7.04
MOZ,2018,1.48,23.19
GTM,2018,1.62,6.31
FSM,2018,1.58,29.07
TUN,2018,1.59,3.09
ETH,2018,1.85,9.54
MWI,2018,1.75,11.04
SGP,2018,1.82,7.76
VUT,2018,1.66,21.09
GHA,2018,1.88,10.79
BLR,2018,10.14,17.94
LCA,2018,10.23,7.06
PRT,2018,10.24,7.5
HRV,2018,10.14,11.1
SVK,2018,10.33,9.43
